game_id,team_name,team_id,type,record,abb,player_name,player_shortname,player_checkname,player_uni,player_class,player_gp,player_code,pass_comp,pass_att,pass_int,pass_yds,pass_td,pass_long,pass_sacks,pass_sackyds,punt_no,punt_yds,punt_long,punt_blkd,punt_tb,punt_fc,punt_plus50,punt_inside20,punt_avg,ko_no,ko_yds,ko_ob,ko_tb,pat_kickatt,pat_kickmade,defense_tackua,defense_tacka,defense_tot_tack,defense_tflua,defense_tfla,defense_tflyds,scoring_patkick,rcv_no,rcv_yds,rcv_td,rcv_long,kr_no,kr_yds,kr_td,kr_long,defense_sackua,defense_sacka,defense_sackyds,rush_att,rush_yds,rush_gain,rush_loss,rush_td,rush_long,pat_passatt,pat_passmade,scoring_td,pat_rcvatt,pat_rcvmade,scoring_patrcv,defense_brup,defense_int,defense_intyds,ir_no,ir_yds,ir_td,ir_long,defense_blkd,fg_made,fg_att,fg_long,fg_blkd,pr_no,pr_yds,pr_td,pr_long,defense_saf,scoring_saf,player_gs,player_opos,player_dpos,defense_fr,defense_fryds,fr_no,fr_yds,fr_td,fr_long,fumbles_no,fumbles_lost,defense_ff,pat_retkatt,pat_retkmade,scoring_fg,pat_retfatt,pat_retfmade,scoring_patretfumb,pat_rushatt,pat_rushmade,scoring_patrush,scoring_patretkick
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,1,NA,NA,1,NA,1,1,2,3,0,-58,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,D. Gfeller,D. Gfeller,"GFELLER,D",2,SR,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,T. Bronn,T. Bronn,"BRONN,T",3,SR,1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,93,39,1,0,0,0,2,31.0,5,283,0,0,2,1,2,3,5,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,A. Eitel,A. Eitel,"EITEL,A",4,SR,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,7,1,43,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,D. Meza,D. Meza,"MEZA,D",5,SR,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,6,0,1,2,NA,1,-57,0,0,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,J. Wright,J. Wright,"WRIGHT,J",6,SR,1,6,12,22,1,157,2,40,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,67,70,3,1,27,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,T. Edel,T. Edel,"EDEL,T",7,SR,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-12,0,12,0,0,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,J. Hauser,J. Hauser,"HAUSER,J",10,SR,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,V. Ferrier,V. Ferrier,"FERRIER,V",11,SR,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,F. Latour,F. Latour,"LATOUR,F",12,SR,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
