game_id,team_name,team_id,type,record,abb,firstdowns_no,firstdowns_rush,firstdowns_pass,firstdowns_penalty,penalties_no,penalties_yds,conversions_thirdconv,conversions_thirdatt,conversions_fourthconv,conversions_fourthatt,fumbles_no,fumbles_lost,misc_yds,misc_top,misc_ona,misc_onm,misc_ptsto,redzone_att,redzone_scores,redzone_points,redzone_tdrush,redzone_tdpass,redzone_fgmade,redzone_endfga,redzone_enddowns,redzone_endint,redzone_endfumb,redzone_endhalf,redzone_endgame,rush_att,rush_yds,rush_gain,rush_loss,rush_td,rush_long,pass_comp,pass_att,pass_int,pass_yds,pass_td,pass_long,pass_sacks,pass_sackyds,rcv_no,rcv_yds,rcv_td,rcv_long,punt_no,punt_yds,punt_long,punt_blkd,punt_tb,punt_fc,punt_plus50,punt_inside20,punt_avg,ko_no,ko_yds,ko_ob,ko_tb,ko_fcyds,pat_kickatt,pat_kickmade,pat_passatt,pat_passmade,pat_rcvatt,pat_rcvmade,defense_tackua,defense_tacka,defense_tot_tack,defense_tflua,defense_tfla,defense_tflyds,defense_sacks,defense_sackyds,defense_brup,defense_blkd,defense_int,defense_intyds,kr_no,kr_yds,kr_td,kr_long,ir_no,ir_yds,ir_td,ir_long,scoring_td,scoring_patkick,scoring_patrcv,fg_made,fg_att,fg_long,fg_blkd,defense_saf,pr_no,pr_yds,pr_td,pr_long,scoring_saf,defense_ff,defense_fr,defense_fryds,fr_no,fr_yds,fr_td,fr_long,pat_retkatt,pat_retkmade,scoring_fg,pat_retfatt,pat_retfmade,scoring_patretfumb,pat_rushatt,pat_rushmade,scoring_patrush,defense_qbh,scoring_patretkick,rank
2021_01_SS_BD,Stuttgart Surge,SS,away,1-0-0,S,15,5,8,2,10,104,1,8,0,1,0,0,6,25:11,0,0,0,2,2,15,1,1,0,0,0,0,0,0,0,23,108,127,19,1,27,13,24,1,162,2,40,0,0,13,162,2,40,5,124,39,1,0,1,0,3,24.8,5,283,0,0,0,2,1,1,1,1,1,30,22,52,3,8,36,4,32,3,1,1,18,1,43,0,43,1,18,0,18,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_SS_BD,Barcelona Dragons,BD,home,0-1-0,B,17,4,11,2,13,149,4,11,0,1,0,0,0,34:49,0,0,0,3,1,7,0,1,0,1,0,1,0,0,0,22,96,103,7,0,16,20,30,1,285,2,57,4,32,20,317,2,57,3,111,43,0,0,0,0,0,37.0,3,171,2,0,0,1,1,1,1,1,1,20,12,32,3,4,7,0,0,3,1,1,0,5,133,0,60,1,0,0,0,2,1,1,0,3,0,1,1,1,11,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_CC_PW,Cologne Centurions,CC,away,0-1-0,C,19,6,12,1,7,52,3,12,2,4,1,1,-51,00:00,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,30,274,280,6,3,72,18,35,3,210,2,28,1,10,18,220,2,28,3,108,43,0,0,0,0,0,36.0,7,344,0,0,0,6,3,NA,NA,NA,NA,52,2,54,6,0,39,2,25,3,NA,NA,NA,10,267,0,54,NA,NA,NA,NA,6,3,NA,0,1,0,0,NA,1,0,0,0,NA,2,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_CC_PW,Panthers Wroclaw,PW,home,1-0-0,P,28,11,17,0,8,70,5,12,0,1,3,2,5,00:00,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,32,180,189,9,1,34,24,43,0,344,5,45,2,25,24,369,5,45,3,93,37,0,0,1,0,2,31.0,10,561,0,0,0,7,7,NA,NA,NA,NA,39,30,69,2,6,18,1,10,3,1,3,87,7,168,0,47,3,87,1,45,7,7,NA,2,3,34,0,NA,2,19,0,14,NA,1,1,0,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_FG_HD,Frankfurt Galaxy,FG,away,0-1-0,F,22,5,12,5,5,40,5,11,0,0,5,2,-4,35:30,0,0,3,4,3,15,1,1,1,1,0,0,0,0,0,23,83,87,4,1,8,29,36,1,177,1,17,4,28,29,205,1,17,4,130,37,0,0,0,0,0,32.5,4,259,0,2,0,1,0,1,0,NA,NA,26,24,50,5,0,13,2,8,3,NA,1,0,2,27,0,18,1,0,0,0,2,NA,NA,1,2,42,0,NA,2,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_FG_HD,Hamburg Sea Devils,HD,home,1-0-0,H,9,6,3,0,11,117,4,11,0,0,1,0,0,24:30,0,0,7,1,1,3,0,0,1,0,0,0,0,0,0,27,105,114,9,0,17,8,16,1,80,1,29,2,8,8,88,1,29,6,268,69,0,1,1,2,3,44.7,4,250,0,2,0,2,2,NA,NA,NA,NA,36,34,70,5,4,33,4,28,2,NA,1,0,2,56,0,30,1,0,0,0,2,2,NA,1,1,33,0,NA,2,17,0,17,NA,1,2,43,1,43,1,43,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_01_LK_BT,Leipzig Kings,LK,away,NA,L,17,4,10,3,12,160,4,11,1,2,1,0,0,37:30,0,0,0,4,4,26,0,4,0,0,0,0,0,0,0,22,51,76,25,0,21,22,39,2,206,4,40,1,9,22,215,4,40,4,120,47,0,0,0,0,2,30.0,6,312,0,0,0,3,3,2,0,NA,NA,37,18,55,9,8,54,8,46,3,1,1,90,3,146,1,93,1,90,0,90,5,3,NA,NA,NA,NA,NA,1,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
2021_01_LK_BT,Berlin Thunder,BT,home,NA,B,16,4,9,3,13,219,4,15,2,3,1,1,4,22:30,0,0,9,4,4,21,0,3,1,0,0,0,0,0,0,20,92,97,5,0,17,18,33,1,213,4,83,8,46,18,259,4,83,4,134,41,0,0,0,0,0,33.5,7,422,0,3,0,1,0,3,0,NA,NA,29,26,55,3,6,34,1,9,3,NA,2,33,6,205,0,89,2,33,0,33,4,NA,NA,1,1,33,0,NA,2,-9,0,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_02_LK_PW,Leipzig Kings,LK,away,1-1-0,L,23,7,15,1,11,175,5,11,0,1,0,0,0,00:00,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,24,104,114,10,0,24,24,39,2,359,3,87,1,3,24,359,3,87,2,67,35,0,0,0,0,2,33.5,5,180,1,0,0,1,0,1,1,1,1,25,38,63,3,2,10,2,7,6,NA,NA,NA,8,215,1,92,NA,NA,NA,NA,4,NA,1,0,1,0,1,NA,1,0,0,0,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA
2021_02_LK_PW,Panthers Wroclaw,PW,home,2-0-0,P,26,5,17,4,9,74,7,10,1,1,1,1,28,00:00,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,22,116,125,9,3,28,27,38,0,302,4,64,2,7,27,302,4,64,2,76,46,0,0,0,0,0,38.0,9,447,0,1,0,8,6,NA,NA,NA,NA,31,46,77,3,4,14,1,3,4,1,2,62,4,63,0,63,2,62,0,49,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_02_BD_CC,Barcelona Dragons,BD,away,0-1-0,B,23,3,16,4,6,58,6,15,1,3,0,0,0,31:57,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,26,58,96,38,0,34,26,48,2,262,2,25,3,29,26,291,2,25,6,198,39,0,0,0,0,1,33.0,3,165,0,0,0,1,0,NA,NA,NA,NA,28,10,38,1,0,3,0,0,NA,NA,NA,NA,3,82,0,49,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,29,0,17,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
2021_02_BD_CC,Cologne Centurions,CC,home,0-1-0,C,22,16,4,2,12,86,3,6,0,0,1,1,0,28:03,0,0,0,2,2,13,2,0,0,0,0,0,0,0,0,36,400,406,6,5,75,6,13,0,127,1,35,0,0,6,127,1,35,5,230,70,0,0,0,2,1,46.0,7,302,0,1,9,6,4,NA,NA,NA,NA,43,14,57,9,4,65,3,29,2,1,2,3,3,65,0,30,2,3,0,3,6,4,NA,NA,NA,NA,NA,NA,4,34,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2021_02_FG_SS,Frankfurt Galaxy,FG,away,1-1,F,27,12,12,3,13,154,7,12,0,0,0,0,0,36:36,0,0,3,7,7,42,4,2,1,0,0,0,0,0,0,35,245,256,11,4,60,23,29,0,242,2,39,2,15,23,257,2,39,3,118,44,0,0,0,0,1,39.3,8,448,0,4,0,6,3,NA,NA,NA,NA,26,18,44,1,4,4,1,1,NA,NA,NA,NA,2,61,0,36,NA,NA,NA,NA,6,3,NA,1,2,32,0,NA,2,23,0,13,NA,1,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_02_FG_SS,Stuttgart Surge,SS,home,1-1,S,21,5,11,5,8,63,3,11,0,2,1,1,-5,23:24,0,0,0,2,2,13,1,1,0,0,0,0,0,0,0,22,125,128,3,2,29,16,33,0,203,1,34,1,1,16,204,1,34,5,170,45,0,0,0,0,1,34.0,4,259,0,2,0,3,2,NA,NA,NA,NA,31,36,67,4,2,24,2,15,1,NA,NA,NA,4,87,0,31,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_03_CC_LK,Currently broken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_03_HD_BD,Hamburg Sea Devils,HD,away,3-0-0,H,23,12,9,2,18,145,4,13,1,2,1,1,0,36:49,0,0,12,6,6,25,0,2,4,0,0,0,0,0,0,47,246,272,26,0,32,13,22,1,146,2,31,1,9,13,155,2,31,2,96,55,0,0,0,1,1,48.0,8,501,0,5,0,3,2,NA,NA,NA,NA,33,30,63,9,4,87,8,76,4,NA,1,8,2,29,0,17,1,8,0,8,3,2,NA,4,4,34,0,NA,1,49,1,49,NA,2,2,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
