game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,clock,oob,first_down_with,score,away_score_post,home_score_post,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,10,FG35,"V,1,10,V35","0,1,0","CMT:FG wins toss, elects to receive, SS to defend W goal","FG wins toss, elects to receive, SS to defend W goal","V,1,10,V35",NA,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,10,FG35,"V,1,10,V35","0,2,1","SPOT:H,H35,N",SS ball on SS35.,"H,1,10,H35",NA,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,SS,1,10,SS35,"H,1,10,H35","0,3,2","KO:3,V00 TB:","T. Bronn kickoff 65 yards to the FG0, touchback.","V,1,10,V25",kick_off,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,10,FG25,"V,1,10,V25","1,1,3","{DRIVE}:15:00 PASS:7,C,84,V31 OB:","FRANKFURT GALAXY drive start at 15:00, J. Sullivan pass complete to C. Sow for 6 yards to the FG31, out-of-bounds.","V,2,4,V31",pass,15:00,1,NA,0,0,0,NA,1,V,FG,"KO,1,15:00,25","TD,1,09:01,100",9,75,5:59,KO,1,15:00,FG25,TD,1,09:01,SS00,1
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,2,4,FG31,"V,2,4,V31","1,2,4","PASS:7,C,84,V27 OB: PEN:V,OH,A,TM,V16,N NOPLAY:","J. Sullivan pass complete to C. Sow for loss of 4 yards to the FG27, out-of-bounds, PENALTY FG OH 15 yards to the FG16, NO PLAY.","V,2,19,V16",penalty,NA,1,NA,0,0,0,NA,1,V,FG,"KO,1,15:00,25","TD,1,09:01,100",9,75,5:59,KO,1,15:00,FG25,TD,1,09:01,SS00,1
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,2,19,FG16,"V,2,19,V16","1,3,5","RUSH:7,V27, OB:","J. Sullivan rush for 11 yards to the FG27, out-of-bounds.","V,3,8,V27",rush,NA,1,NA,0,0,0,NA,1,V,FG,"KO,1,15:00,25","TD,1,09:01,100",9,75,5:59,KO,1,15:00,FG25,TD,1,09:01,SS00,1
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,3,8,FG27,"V,3,8,V27","1,4,6","RUSH:7,H48, TACK:8","J. Sullivan rush for 25 yards to the SS48, 1ST DOWN FG (V. Ferrier).","V,1,10,H48",rush,NA,0,rush,0,0,0,NA,1,V,FG,"KO,1,15:00,25","TD,1,09:01,100",9,75,5:59,KO,1,15:00,FG25,TD,1,09:01,SS00,1
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,10,SS48,"V,1,10,H48","1,5,7","RUSH:21,H48, OB:","G. Adams rush for no gain to the SS48, out-of-bounds.","V,2,10,H48",rush,NA,1,NA,0,0,0,NA,1,V,FG,"KO,1,15:00,25","TD,1,09:01,100",9,75,5:59,KO,1,15:00,FG25,TD,1,09:01,SS00,1
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,2,10,SS48,"V,2,10,H48","1,6,8","PASS:7,C,82,H43 TACK:23 PEN:V,UH,A,75,V42,N NOPLAY:","J. Sullivan pass complete to H. Schwarz for 5 yards to the SS43 (M. Dabo), PENALTY FG illegal use of hands (J. Christensen) 10 yards to the FG42, NO PLAY.","V,2,20,V42",penalty,NA,0,NA,0,0,0,NA,1,V,FG,"KO,1,15:00,25","TD,1,09:01,100",9,75,5:59,KO,1,15:00,FG25,TD,1,09:01,SS00,1
2021_02_FG_SS,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,2,20,FG42,"V,2,20,V42","1,7,9","PASS:7,C,86,H19 TACK:33","J. Sullivan pass complete to L. Regler for 39 yards to the SS19, 1ST DOWN FG (B. Wenzler).","V,1,10,H19",pass,NA,0,pass,0,0,0,NA,1,V,FG,"KO,1,15:00,25","TD,1,09:01,100",9,75,5:59,KO,1,15:00,FG25,TD,1,09:01,SS00,1
