game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,first_down_with,score,away_score_post,home_score_post,clock,turnover,oob,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,HD,1,10,HD35,"V,1,10,V35","0,1,0",CMT:HD wins toss and recieves the ball,HD wins toss and recieves the ball,"V,1,10,V35",NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,HD,1,10,HD35,"V,1,10,V35","0,2,1","SPOT:H,H35,N",LK ball on LK35.,"H,1,10,H35",NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,LK,1,10,LK35,"H,1,10,H35","0,3,2","KO:18,V32 RET:58,V45 TACK:54","M. Ulbrich kickoff 33 yards to the HD32, J. Bombek return 13 yards to the HD45 (M. Strauss).","V,1,10,V45",kick_off,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,HD,1,10,HD45,"V,1,10,V45","1,1,3","RUSH:10,H49, TACK:45",J. Clark rush for 6 yards to the LK49 (K. Kitchens).,"V,2,4,H49",rush,NA,0,0,0,NA,NA,0,1,V,HD,"KO,1,15:00,45","TD,1,09:46,100",8,55,5:14,KO,1,15:00,HD45,TD,1,09:46,LK00,1
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,HD,2,4,LK49,"V,2,4,H49","1,2,4","RUSH:24,H33, TACK:8","X. Johnson rush for 16 yards to the LK33, 1ST DOWN HD (A. Jalloh).","V,1,10,H33",rush,rush,0,0,0,NA,NA,0,1,V,HD,"KO,1,15:00,45","TD,1,09:46,100",8,55,5:14,KO,1,15:00,HD45,TD,1,09:46,LK00,1
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,HD,1,10,LK33,"V,1,10,H33","1,3,5","PASS:10,S,TM,H46 SACK:92",J. Clark sacked for loss of 13 yards to the LK46 (A. Zetterberg).,"V,2,23,H46",pass,NA,0,0,0,NA,NA,0,1,V,HD,"KO,1,15:00,45","TD,1,09:46,100",8,55,5:14,KO,1,15:00,HD45,TD,1,09:46,LK00,1
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,HD,2,23,LK46,"V,2,23,H46","1,4,6","RUSH:24,H39, TACK:45,41",X. Johnson rush for 7 yards to the LK39 (K. Kitchens;A. Dommann).,"V,3,16,H39",rush,NA,0,0,0,NA,NA,0,1,V,HD,"KO,1,15:00,45","TD,1,09:46,100",8,55,5:14,KO,1,15:00,HD45,TD,1,09:46,LK00,1
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,HD,3,16,LK39,"V,3,16,H39","1,5,7","PASS:10,C,88,H25 TACK:8",J. Clark pass complete to A. Botella M. for 14 yards to the LK25 (A. Jalloh).,"V,4,2,H25",pass,NA,0,0,0,NA,NA,0,1,V,HD,"KO,1,15:00,45","TD,1,09:46,100",8,55,5:14,KO,1,15:00,HD45,TD,1,09:46,LK00,1
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,HD,4,2,LK25,"V,4,2,H25","1,6,8","RUSH:24,H15, TACK:8,4","X. Johnson rush for 10 yards to the LK15, 1ST DOWN HD (A. Jalloh;R. Henrique).","V,1,10,H15",rush,rush,0,0,0,NA,NA,0,1,V,HD,"KO,1,15:00,45","TD,1,09:46,100",8,55,5:14,KO,1,15:00,HD45,TD,1,09:46,LK00,1
2021_05_HD_LK,HD,LK,Hamburg Sea Devils,Leipzig Kings,7/18/2021,Leipzig,Alfred-K.-Sportpark,15:00,18:00,Y,03:00,2380,25deg.C,NNW,Sunny,T. Denker,M. Kattillus,H. Horak,F. Pachulski,P. Simon,S. Hameder,V. Kriesman,HD,1,10,LK15,"V,1,10,H15","1,7,9","PASS:10,C,88,H04 TACK:5,8","J. Clark pass complete to A. Botella M. for 11 yards to the LK4, 1ST DOWN HD (M. Bausch;A. Jalloh).","V,1,0,H04",pass,pass,0,0,0,NA,NA,0,1,V,HD,"KO,1,15:00,45","TD,1,09:46,100",8,55,5:14,KO,1,15:00,HD45,TD,1,09:46,LK00,1
