game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,clock,first_down_with,score,away_score_post,home_score_post,oob,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,CC,1,10,CC35,"V,1,10,V35","0,1,0","CMT:SS wins toss, defers, CC elects to receive, SS to defend W goal","SS wins toss, defers, CC elects to receive, SS to defend W goal","V,1,10,V35",NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,CC,1,10,CC35,"V,1,10,V35","0,2,1","POSS: SPOT:H,H35,N","Change of possession, SS ball on SS35.","H,1,10,H35",NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,SS,1,10,SS35,"H,1,10,H35","1,1,2","KO:3,V05 DN:","T. Bronn kickoff 60 yards to the CC5, downed.","V,1,10,V05",kick_off,NA,NA,0,0,0,0,NA,1,V,CC,"POSS,1,15:00,35","KO,1,15:00,35",0,0,0:00,POSS,1,15:00,CC35,KO,1,15:00,CC35,NA
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,CC,1,10,CC05,"V,1,10,V05","2,1,3",{DRIVE}:15:00,COLOGNE CENTURIONS drive start at 15:00.,"V,1,10,V05",NA,15:00,NA,0,0,0,0,NA,2,V,CC,"KO,1,15:00,5","TD,1,09:08,100",10,95,5:52,KO,1,15:00,CC05,TD,1,09:08,SS00,1
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,CC,1,10,CC05,"V,1,10,V05","2,2,4","PASS:18,C,1,V40","K. Schiffer pass complete to Q. Pounds for 35 yards to the CC40, 1ST DOWN CC.","V,1,10,V40",pass,NA,pass,0,0,0,0,NA,2,V,CC,"KO,1,15:00,5","TD,1,09:08,100",10,95,5:52,KO,1,15:00,CC05,TD,1,09:08,SS00,1
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,CC,1,10,CC40,"V,1,10,V40","2,3,5","RUSH:18,V44,",K. Schiffer rush for 4 yards to the CC44.,"V,2,6,V44",rush,NA,NA,0,0,0,0,NA,2,V,CC,"KO,1,15:00,5","TD,1,09:08,100",10,95,5:52,KO,1,15:00,CC05,TD,1,09:08,SS00,1
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,CC,2,6,CC44,"V,2,6,V44","2,4,6","RUSH:28,V43, TACK:20",M. London rush for loss of 1 yard to the CC43 (D. Warren).,"V,3,7,V43",rush,NA,NA,0,0,0,0,NA,2,V,CC,"KO,1,15:00,5","TD,1,09:08,100",10,95,5:52,KO,1,15:00,CC05,TD,1,09:08,SS00,1
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,CC,3,7,CC43,"V,3,7,V43","2,5,7","PASS:18,C,87,H41","K. Schiffer pass complete to F. Eichhorn for 16 yards to the SS41, 1ST DOWN CC.","V,1,10,H41",pass,NA,pass,0,0,0,0,NA,2,V,CC,"KO,1,15:00,5","TD,1,09:08,100",10,95,5:52,KO,1,15:00,CC05,TD,1,09:08,SS00,1
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,CC,1,10,SS41,"V,1,10,H41","2,6,8","RUSH:28,H38, TACK:20,44",M. London rush for 3 yards to the SS38 (D. Warren;J. Mbala).,"V,2,7,H38",rush,NA,NA,0,0,0,0,NA,2,V,CC,"KO,1,15:00,5","TD,1,09:08,100",10,95,5:52,KO,1,15:00,CC05,TD,1,09:08,SS00,1
2021_06_CC_SS,CC,SS,Cologne Centurions,Stuttgart Surge,7/25/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,2:50,1998,21 C,no wind,cloudy,Z. Hamiko,J. Poschlod,T. Bruckner,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,CC,2,7,SS38,"V,2,7,H38","2,7,9","PASS:18,C,1,H30 TACK:23,42","K. Schiffer pass complete to Q. Pounds for 8 yards to the SS30, 1ST DOWN CC (M. Dabo;Z. Blair).","V,1,10,H30",pass,NA,pass,0,0,0,0,NA,2,V,CC,"KO,1,15:00,5","TD,1,09:08,100",10,95,5:52,KO,1,15:00,CC05,TD,1,09:08,SS00,1
