game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,clock,first_down_with,score,away_score_post,home_score_post,oob,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,10,BT35,"V,1,10,V35","0,1,0","CMT:BT wins toss, defers, SS elects to receive, BT to defend E goal","BT wins toss, defers, SS elects to receive, BT to defend E goal","V,1,10,V35",NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,10,BT35,"V,1,10,V35","0,2,1","SPOT:V,V35,N",BT ball on BT35.,"V,1,10,V35",NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,10,BT35,"V,1,10,V35","0,3,2","KO:26,H11 RET:4,H29 TACK:13,47","J. Schenderlein kickoff 54 yards to the SS11, A. Eitel return 18 yards to the SS29 (A. Dickmeis;Y. Landfried).","H,1,10,H29",kick_off,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,SS,1,10,SS29,"H,1,10,H29","1,1,3","RUSH:41,H31, TACK:92",B. Yankson rush for 2 yards to the SS31 (T. Hiller).,"H,2,8,H31",rush,NA,NA,0,0,0,0,NA,1,H,SS,"KO,1,15:00,29","PUNT,1,13:10,32",3,3,1:50,KO,1,15:00,SS29,PUNT,1,13:10,SS32,NA
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,SS,2,8,SS31,"H,2,8,H31","1,2,4","RUSH:41,H32, TACK:91",B. Yankson rush for 1 yard to the SS32 (A. Odeleye).,"H,3,7,H32",rush,NA,NA,0,0,0,0,NA,1,H,SS,"KO,1,15:00,29","PUNT,1,13:10,32",3,3,1:50,KO,1,15:00,SS29,PUNT,1,13:10,SS32,NA
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,SS,3,7,SS32,"H,3,7,H32","1,3,5","PASS:16,I,26,*",M. Winterlik pass incomplete to R. Pein.,"H,4,7,H32",pass,NA,NA,0,0,0,0,NA,1,H,SS,"KO,1,15:00,29","PUNT,1,13:10,32",3,3,1:50,KO,1,15:00,SS29,PUNT,1,13:10,SS32,NA
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,SS,4,7,SS32,"H,4,7,H32","1,4,6","PUNT:TM,H25,B,V,H06,TM BLOCK:TM","TEAM punt BLOCKED, recovered by BT TEAM at SS6 (blocked by TEAM).","V,1,0,H06",punt,NA,NA,0,0,0,0,NA,1,H,SS,"KO,1,15:00,29","PUNT,1,13:10,32",3,3,1:50,KO,1,15:00,SS29,PUNT,1,13:10,SS32,NA
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,0,SS06,"V,1,0,H06","2,1,7",{DRIVE}:13:10,BERLIN THUNDER drive start at 13:10.,"V,1,0,H06",NA,13:10,NA,0,0,0,0,NA,2,V,BT,"PUNT,1,13:10,94","TD,1,12:53,100",1,6,0:17,PUNT,1,13:10,SS06,TD,1,12:53,SS00,1
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,0,SS06,"V,1,0,H06","2,2,8","RUSH:47,H00, T:12:53","Y. Landfried rush for 6 yards to the SS0, 1ST DOWN BT, TOUCHDOWN, clock 12:53.","V,1,10,H15",rush,12:53,rush,1,6,0,0,NA,2,V,BT,"PUNT,1,13:10,94","TD,1,12:53,100",1,6,0:17,PUNT,1,13:10,SS06,TD,1,12:53,SS00,1
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,10,SS15,"V,1,10,H15","2,3,9","PAT:K,26,G",J. Schenderlein kick attempt good.,"V,1,0,V35",pat,NA,NA,1,7,0,0,NA,2,V,BT,"PUNT,1,13:10,94","TD,1,12:53,100",1,6,0:17,PUNT,1,13:10,SS06,TD,1,12:53,SS00,1
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,0,BT35,"V,1,0,V35","2,4,10","KO:26,H25 RET:24,H44 TACK:52,88","J. Schenderlein kickoff 40 yards to the SS25, F. Seibert return 19 yards to the SS44 (W. Nasri;T. Ndongo).","H,1,10,H44",kick_off,NA,NA,0,7,0,0,NA,2,V,BT,"PUNT,1,13:10,94","TD,1,12:53,100",1,6,0:17,PUNT,1,13:10,SS06,TD,1,12:53,SS00,1
2021_12_BT_SS,BT,SS,Berlin Thunder,Stuttgart Surge,9/5/2021,Stuttgart,Gazi-Stadion,15:00,17:50,Y,02:50,1300,24 C,no wind,sunny,A. Nagel,I. Summer,R. Lewis,S. Richardson,J. Scott,N. Lakowitz,A. Flaisch-J.,SS,1,10,SS44,"H,1,10,H44","3,1,11",{DRIVE}:12:53,STUTTGART SURGE drive start at 12:53.,"H,1,10,H44",NA,12:53,NA,0,7,0,0,NA,3,H,SS,"KO,1,12:53,44","PUNT,1,10:48,46",3,2,2:05,KO,1,12:53,SS44,PUNT,1,10:48,SS46,NA
