game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,postseason,duration,attend,temp,wind,weather,ref,ump,lj,bj,fj,sj,cj,alt,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,first_down_with,score,away_score_post,home_score_post,clock,oob,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,PW,1,10,PW35,"V,1,10,V35","0,1,0",CMT:HSD wins toss and elects to recieve the ball in the 1st half.,HSD wins toss and elects to recieve the ball in the 1st half.,"V,1,10,V35",NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,PW,1,10,PW35,"V,1,10,V35","0,2,1","SPOT:V,V35,N",PW ball on PW35.,"V,1,10,V35",NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,PW,1,10,PW35,"V,1,10,V35","0,3,2","KO:44,H20 RET:44,H27 TACK:87","T. Leader kickoff 45 yards to the HD20, J. Kruse return 7 yards to the HD27 (I.Maslanka).","H,1,10,H27",kick_off,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,HD,1,10,HD27,"H,1,10,H27","1,1,3","RUSH:24,H35, TACK:4",X. Johnson rush for 8 yards to the HD35 (W. Lloyd).,"H,2,2,H35",rush,NA,0,0,0,NA,0,NA,1,H,HD,"KO,1,15:00,27","TD,1,10:18,100",9,73,4:42,KO,1,15:00,HD27,TD,1,10:18,PW00,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,HD,2,2,HD35,"H,2,2,H35","1,2,4","PASS:10,C,12,H37 TACK:1,24","J. Clark pass complete to J. Madin Cerezo for 2 yards to the HD37, 1ST DOWN HD (D. Robinson;W. James).","H,1,10,H37",pass,pass,0,0,0,NA,0,NA,1,H,HD,"KO,1,15:00,27","TD,1,10:18,100",9,73,4:42,KO,1,15:00,HD27,TD,1,10:18,PW00,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,HD,1,10,HD37,"H,1,10,H37","1,3,5","RUSH:24,H39, TACK:5,92",X. Johnson rush for 2 yards to the HD39 (G. Zec;A. Brudny).,"H,2,8,H39",rush,NA,0,0,0,NA,0,NA,1,H,HD,"KO,1,15:00,27","TD,1,10:18,100",9,73,4:42,KO,1,15:00,HD27,TD,1,10:18,PW00,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,HD,2,8,HD39,"H,2,8,H39","1,4,6","RUSH:24,H44,",X. Johnson rush for 5 yards to the HD44.,"H,3,3,H44",rush,NA,0,0,0,NA,0,NA,1,H,HD,"KO,1,15:00,27","TD,1,10:18,100",9,73,4:42,KO,1,15:00,HD27,TD,1,10:18,PW00,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,HD,3,3,HD44,"H,3,3,H44","1,5,7","PASS:10,C,88,V43 TACK:24","J. Clark pass complete to A. Botella M. for 13 yards to the PW43, 1ST DOWN HD (W. James).","H,1,10,V43",pass,pass,0,0,0,NA,0,NA,1,H,HD,"KO,1,15:00,27","TD,1,10:18,100",9,73,4:42,KO,1,15:00,HD27,TD,1,10:18,PW00,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,HD,1,10,PW43,"H,1,10,V43","1,6,8","RUSH:24,V44, TACK:8,94",X. Johnson rush for loss of 1 yard to the PW44 (H. Ogrodowczyk;K. Brauns).,"H,2,11,V44",rush,NA,0,0,0,NA,0,NA,1,H,HD,"KO,1,15:00,27","TD,1,10:18,100",9,73,4:42,KO,1,15:00,HD27,TD,1,10:18,PW00,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,HD,2,11,PW44,"H,2,11,V44","1,7,9","RUSH:10,V44, TACK:50",J. Clark rush for no gain to the PW44 (S. Adamczyk).,"H,3,11,V44",rush,NA,0,0,0,NA,0,NA,1,H,HD,"KO,1,15:00,27","TD,1,10:18,100",9,73,4:42,KO,1,15:00,HD27,TD,1,10:18,PW00,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,HD,3,11,PW44,"H,3,11,V44","1,8,10","PASS:10,C,88,V31 TACK:4,5","J. Clark pass complete to A. Botella M. for 13 yards to the PW31, 1ST DOWN HD (W. Lloyd;G. Zec).","H,1,10,V31",pass,pass,0,0,0,NA,0,NA,1,H,HD,"KO,1,15:00,27","TD,1,10:18,100",9,73,4:42,KO,1,15:00,HD27,TD,1,10:18,PW00,NA
2021_13_PW_HD,PW,HD,Panthers Wroclaw,Hamburg Sea Devils,9/12/2021,Hamburg,Stadion Hoheluft,14:45,17:45,Y,Y,03:00,0,21 deg.C,WSW,Cloudy,T. Denker,M. Kattilus,S. Richardson,B. Marciniak,M. Hoffmann,H. Romanczyk,R. Lewis,R. Lewis,HD,1,10,PW31,"H,1,10,V31","1,9,11","PASS:10,C,81,V00 T:10:18 PAT:K,4,G","J. Clark pass complete to K. Ofori for 31 yards to the PW0, 1ST DOWN HD, TOUCHDOWN, clock 10:18, P. Andersen kick attempt good.","H,1,0,H35",pat,pass,1,0,7,10:18,0,NA,1,H,HD,"KO,1,15:00,27","TD,1,10:18,100",9,73,4:42,KO,1,15:00,HD27,TD,1,10:18,PW00,NA
