game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,neutralgame,postseason,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,first_down_with,oob,clock,score,away_score_post,home_score_post,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,HD,1,10,HD35,"V,1,10,V35","0,1,0","CMT:FG wins the coin toss and elects to receive, HD will kick","FG wins the coin toss and elects to receive, HD will kick","V,1,10,V35",NA,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,HD,1,10,HD35,"V,1,10,V35","0,2,1","KO:4,H03 RET:33,H20 TACK:48","P. Andersen kickoff 62 yards to the FG3, J. Rodney return 17 yards to the FG20 (T. Kolb).","H,1,10,H20",kick_off,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,FG,1,10,FG20,"H,1,10,H20","1,1,2","RUSH:7,H23, TACK:43",J. Sullivan rush for 3 yards to the FG23 (M. Boock).,"H,2,7,H23",rush,NA,0,NA,0,0,0,NA,1,H,FG,"KO,1,15:00,20","DOWNS,1,08:26,74",12,54,6:34,KO,1,15:00,FG20,DOWNS,1,08:26,HD26,NA
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,FG,2,7,FG23,"H,2,7,H23","1,2,3","PASS:7,C,13,H42 TACK:31","J. Sullivan pass complete to M. Rutsch for 19 yards to the FG42, 1ST DOWN FG (J. Juurlink).","H,1,10,H42",pass,pass,0,NA,0,0,0,NA,1,H,FG,"KO,1,15:00,20","DOWNS,1,08:26,74",12,54,6:34,KO,1,15:00,FG20,DOWNS,1,08:26,HD26,NA
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,FG,1,10,FG42,"H,1,10,H42","1,3,4","RUSH:21,H44, TACK:98",G. Adams rush for 2 yards to the FG44 (H. Awuah).,"H,2,8,H44",rush,NA,0,NA,0,0,0,NA,1,H,FG,"KO,1,15:00,20","DOWNS,1,08:26,74",12,54,6:34,KO,1,15:00,FG20,DOWNS,1,08:26,HD26,NA
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,FG,2,8,FG44,"H,2,8,H44","1,4,5","PASS:7,C,84,H46 TACK:94,43",J. Sullivan pass complete to C. Sow for 2 yards to the FG46 (B. Grube;M. Boock).,"H,3,6,H46",pass,NA,0,NA,0,0,0,NA,1,H,FG,"KO,1,15:00,20","DOWNS,1,08:26,74",12,54,6:34,KO,1,15:00,FG20,DOWNS,1,08:26,HD26,NA
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,FG,3,6,FG46,"H,3,6,H46","1,5,6","PASS:7,C,13,V40 TACK:31","J. Sullivan pass complete to M. Rutsch for 14 yards to the HD40, 1ST DOWN FG (J. Juurlink).","H,1,10,V40",pass,pass,0,NA,0,0,0,NA,1,H,FG,"KO,1,15:00,20","DOWNS,1,08:26,74",12,54,6:34,KO,1,15:00,FG20,DOWNS,1,08:26,HD26,NA
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,FG,1,10,HD40,"H,1,10,V40","1,6,7","RUSH:21,V37, TACK:56",G. Adams rush for 3 yards to the HD37 (G. Nanguy).,"H,2,7,V37",rush,NA,0,NA,0,0,0,NA,1,H,FG,"KO,1,15:00,20","DOWNS,1,08:26,74",12,54,6:34,KO,1,15:00,FG20,DOWNS,1,08:26,HD26,NA
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,FG,2,7,HD37,"H,2,7,V37","1,7,8","PASS:7,C,19,V24 OB: PEN:H,HO,A,76,V47,N NOPLAY:","J. Sullivan pass complete to N. Strahmann for 13 yards to the HD24, out-of-bounds, PENALTY FG holding (N. Hampel) 10 yards to the HD47, NO PLAY.","H,2,17,V47",penalty,NA,1,NA,0,0,0,NA,1,H,FG,"KO,1,15:00,20","DOWNS,1,08:26,74",12,54,6:34,KO,1,15:00,FG20,DOWNS,1,08:26,HD26,NA
2021_14_HD_FG,HD,FG,Hamburg Sea Devils,Frankfurt Galaxy,9/26/2021,Dusseldorf,Merkur Spiel-Arena,14:45,NA,Y,Y,-,22222,22 degr.,SW15km/h,cloudy,M. Scholz,B. Hansen,M. Burzec,M. Szczepanski,D. Jurzyk,K. Przybyla,A. Flaisch-J.,FG,2,17,HD47,"H,2,17,V47","1,8,9","PASS:7,I,19,*",J. Sullivan pass incomplete to N. Strahmann.,"H,3,17,V47",pass,NA,0,NA,0,0,0,NA,1,H,FG,"KO,1,15:00,20","DOWNS,1,08:26,74",12,54,6:34,KO,1,15:00,FG20,DOWNS,1,08:26,HD26,NA
