game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,first_down_with,score,away_score_post,home_score_post,clock,oob,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,BT,1,10,BT30,"V,1,10,V30","0,1,0","CMT:BT win Coin Toss, BT elect to receive","BT win Coin Toss, BT elect to receive","V,1,10,V30",NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,BT,1,10,BT30,"V,1,10,V30","0,2,2","SPOT:H,H30,N",HD ball on HD30.,"H,1,10,H30",NA,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,HD,1,10,HD30,"H,1,10,H30","0,3,3","KO:8,V09 RET:22,V27 TACK:16","E. Schlomm kickoff 61 yards to the BT9, A. Wiesigstrauc return 18 yards to the BT27 (L. Jordan II).","V,1,10,V27",kick_off,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,BT,1,10,BT27,"V,1,10,V27","1,1,4","PASS:9,C,85,V35 TACK:3,52",J. Germinerio pass complete to N. Schumann for 8 yards to the BT35 (M. Boock;A. Mati).,"V,2,2,V35",pass,NA,0,0,0,NA,0,NA,1,V,BT,"KO,1,15:00,27","FG,1,09:10,96",8,69,5:50,KO,1,15:00,BT27,FG,1,09:10,HD04,1
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,BT,2,2,BT35,"V,2,2,V35","1,2,5","RUSH:1,V40, TACK:95 PEN:H,OS,A,76,V40,N NOPLAY:","J. Crawford rush for 5 yards to the BT40 (E. Yeboah), PENALTY HD Offensive Offside (76) 5 yards to the BT40, 1ST DOWN BT, NO PLAY.","V,1,10,V40",penalty,penalty,0,0,0,NA,0,NA,1,V,BT,"KO,1,15:00,27","FG,1,09:10,96",8,69,5:50,KO,1,15:00,BT27,FG,1,09:10,HD04,1
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,BT,1,10,BT40,"V,1,10,V40","1,3,6","PASS:9,C,17,V41 TACK:96",J. Germinerio pass complete to E. Drossard for 1 yard to the BT41 (T. Haenni).,"V,2,9,V41",pass,NA,0,0,0,NA,0,NA,1,V,BT,"KO,1,15:00,27","FG,1,09:10,96",8,69,5:50,KO,1,15:00,BT27,FG,1,09:10,HD04,1
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,BT,2,9,BT41,"V,2,9,V41","1,4,7","PASS:9,C,7,H10 TACK:23","J. Germinerio pass complete to R. Wilzeck for 49 yards to the HD10, 1ST DOWN BT (J. Rogers).","V,1,0,H10",pass,pass,0,0,0,NA,0,NA,1,V,BT,"KO,1,15:00,27","FG,1,09:10,96",8,69,5:50,KO,1,15:00,BT27,FG,1,09:10,HD04,1
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,BT,1,0,HD10,"V,1,0,H10","1,5,8","RUSH:1,H08, TACK:95,99",J. Crawford rush for 2 yards to the HD8 (E. Yeboah;N. Imasuen).,"V,2,0,H08",rush,NA,0,0,0,NA,0,NA,1,V,BT,"KO,1,15:00,27","FG,1,09:10,96",8,69,5:50,KO,1,15:00,BT27,FG,1,09:10,HD04,1
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,BT,2,0,HD08,"V,2,0,H08","1,6,9","PEN:V,DG,A,9,H13,N",PENALTY BT Delay of Game (J. Germinerio) 5 yards to the HD13.,"V,2,0,H13",penalty,NA,0,0,0,NA,0,NA,1,V,BT,"KO,1,15:00,27","FG,1,09:10,96",8,69,5:50,KO,1,15:00,BT27,FG,1,09:10,HD04,1
2022_01_BT_HD,BT,HD,Berlin Thunder,Hamburg Sea Devils,6/5/2022,Hamburg,Stadion Hoheluft,15:00,17:48,Y,02:48,4936,23 degr.,SE,mostly sunny,F Kristensen,M. Kattillus,K. Haltermann,J. Ford-Banist.,M. Hoffmann,R. Krahl,BT,2,0,HD13,"V,2,0,H13","1,7,10","PEN:H,IC,A,25,H08,1","PENALTY HD Illegal Contact (D. Brown Jr.) 5 yards to the HD8, 1ST DOWN BT.","V,1,0,H08",penalty,penalty,0,0,0,NA,0,NA,1,V,BT,"KO,1,15:00,27","FG,1,09:10,96",8,69,5:50,KO,1,15:00,BT27,FG,1,09:10,HD04,1
