game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,clock,first_down_with,score,away_score_post,home_score_post,oob,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,VV,1,10,VV30,"V,1,10,V30","0,1,0","CMT:VV won toss, elect to receive, RT to defend W goal.","VV won toss, elect to receive, RT to defend W goal.","V,1,10,V30",NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,VV,1,10,VV30,"V,1,10,V30","0,2,1","SPOT:H,H30,N",RT ball on RT30.,"H,1,10,H30",NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,RT,1,10,RT30,"H,1,10,H30","0,3,2",Q:1 T:15:00,"Start of 1st quarter, clock 15:00.","H,1,10,H30",NA,15:00,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,RT,1,10,RT30,"H,1,10,H30","0,4,3","KO:33,V05 RET:4,V29 TACK:29","T. Unger kickoff 65 yards to the VV5, J. Bouah return 24 yards to the VV29 (L. Ogbevoen).","V,1,10,V29",kick_off,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,VV,1,10,VV29,"V,1,10,V29","1,1,4","PASS:9,I,17,* BRUP:23",J. Erdmann pass incomplete to K. Linnainmaa (V. Mueller).,"V,2,10,V29",pass,NA,NA,0,0,0,0,NA,1,V,VV,"KO,1,15:00,29","DOWNS,1,14:16,20",4,-9,0:44,KO,1,15:00,VV29,DOWNS,1,14:16,VV20,NA
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,VV,2,10,VV29,"V,2,10,V29","1,2,5","RUSH:13,V35, TACK:91",F. Wegan rush for 6 yards to the VV35 (D. Brumfield).,"V,3,4,V35",rush,NA,NA,0,0,0,0,NA,1,V,VV,"KO,1,15:00,29","DOWNS,1,14:16,20",4,-9,0:44,KO,1,15:00,VV29,DOWNS,1,14:16,VV20,NA
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,VV,3,4,VV35,"V,3,4,V35","1,3,6","PASS:9,I,4,*",J. Erdmann pass incomplete to J. Bouah.,"V,4,4,V35",pass,NA,NA,0,0,0,0,NA,1,V,VV,"KO,1,15:00,29","DOWNS,1,14:16,20",4,-9,0:44,KO,1,15:00,VV29,DOWNS,1,14:16,VV20,NA
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,VV,4,4,VV35,"V,4,4,V35","1,4,7","RUSH:16,V20, TACK:32",S. Daum rush for loss of 15 yards to the VV20 (S. Summerer).,"H,1,10,V20",rush,NA,NA,0,0,0,0,NA,1,V,VV,"KO,1,15:00,29","DOWNS,1,14:16,20",4,-9,0:44,KO,1,15:00,VV29,DOWNS,1,14:16,VV20,NA
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,RT,1,10,VV20,"H,1,10,V20","2,1,8",{DRIVE}:14:16,RAIDERS TIROL drive start at 14:16.,"H,1,10,V20",NA,14:16,NA,0,0,0,0,NA,2,H,RT,"DOWNS,1,14:16,80","TD,1,09:30,100",7,20,4:46,DOWNS,1,14:16,VV20,TD,1,09:30,VV00,1
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,RT,1,10,VV20,"H,1,10,V20","2,2,9","PASS:12,C,10,V16 TACK:10",S. Shelton pass complete to P. Haun for 4 yards to the VV16 (C. Smith).,"H,2,6,V16",pass,NA,NA,0,0,0,0,NA,2,H,RT,"DOWNS,1,14:16,80","TD,1,09:30,100",7,20,4:46,DOWNS,1,14:16,VV20,TD,1,09:30,VV00,1
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,RT,2,6,VV16,"H,2,6,V16","2,3,10","PASS:12,C,10,V13 TACK:10",S. Shelton pass complete to P. Haun for 3 yards to the VV13 (C. Smith).,"H,3,3,V13",pass,NA,NA,0,0,0,0,NA,2,H,RT,"DOWNS,1,14:16,80","TD,1,09:30,100",7,20,4:46,DOWNS,1,14:16,VV20,TD,1,09:30,VV00,1
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,RT,3,3,VV13,"H,3,3,V13","2,4,11","RUSH:14,V11, TACK:37,10",Y. Mayr rush for 2 yards to the VV11 (S. Wimmer;C. Smith).,"H,4,1,V11",rush,NA,NA,0,0,0,0,NA,2,H,RT,"DOWNS,1,14:16,80","TD,1,09:30,100",7,20,4:46,DOWNS,1,14:16,VV20,TD,1,09:30,VV00,1
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,RT,4,1,VV11,"H,4,1,V11","2,5,12","RUSH:22,V08, TACK:23,42","L. Moragne rush for 3 yards to the VV8, 1ST DOWN RT (B. Straight;M. Elmauthaler).","H,1,0,V08",rush,NA,rush,0,0,0,0,NA,2,H,RT,"DOWNS,1,14:16,80","TD,1,09:30,100",7,20,4:46,DOWNS,1,14:16,VV20,TD,1,09:30,VV00,1
2022_01_VV_RT,VV,RT,Vienna Vikings,Raiders Tirol,6/5/2022,Innsbruck,Tivoli Stadion,15:00,18:38,Y,3:38,3750,28C,Mild,Thunderstorm,T. Plendl,E. Sumner,G. Udvardi,F. Pachukski,D. Jurzyk,B. Peric,M. Zoladek,RT,1,0,VV08,"H,1,0,V08","2,6,13","RUSH:22,V01, TACK:37 PEN:H,OH,A,52,V18,N NOPLAY:","L. Moragne rush for 7 yards to the VV1 (S. Wimmer), PENALTY RT Offensive Holding (J. Fuksa) 10 yards to the VV18, NO PLAY.","H,1,0,V18",penalty,NA,NA,0,0,0,0,NA,2,H,RT,"DOWNS,1,14:16,80","TD,1,09:30,100",7,20,4:46,DOWNS,1,14:16,VV20,TD,1,09:30,VV00,1
