game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,score,away_score_post,home_score_post,clock,oob,first_down_with,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,PW,1,10,PW30,"V,1,10,V30","0,1,0","CMT:PW wins toss, defers, SS elects to receive, PW to defend W goal.","PW wins toss, defers, SS elects to receive, PW to defend W goal.","V,1,10,V30",NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,PW,1,10,PW30,"V,1,10,V30","0,2,1","SPOT:V,V30,N",PW ball on PW30.,"V,1,10,V30",NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,PW,1,10,PW30,"V,1,10,V30","0,3,2","KO:58,H00 TB:","K. Stepien kickoff 70 yards to the SS0, touchback.","H,1,10,H30",kick_off,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,1,10,SS30,"H,1,10,H30","1,1,3","SPOT:H,H20,Y",SS ball on SS20.,"H,1,10,H20",NA,0,0,0,NA,0,NA,NA,1,H,SS,"KO,1,15:00,20","PUNT,1,13:27,24",3,4,1:33,KO,1,15:00,SS20,PUNT,1,13:27,SS24,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,1,10,SS20,"H,1,10,H20","1,2,4","RUSH:41,H21, TACK:3",B. Yankson rush for 1 yard to the SS21 (S. Radji).,"H,2,9,H21",rush,0,0,0,NA,0,NA,NA,1,H,SS,"KO,1,15:00,20","PUNT,1,13:27,24",3,4,1:33,KO,1,15:00,SS20,PUNT,1,13:27,SS24,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,2,9,SS21,"H,2,9,H21","1,3,5","RUSH:41,H24, TACK:5,3",B. Yankson rush for 3 yards to the SS24 (G. Zec;S. Radji).,"H,3,6,H24",rush,0,0,0,NA,0,NA,NA,1,H,SS,"KO,1,15:00,20","PUNT,1,13:27,24",3,4,1:33,KO,1,15:00,SS20,PUNT,1,13:27,SS24,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,3,6,SS24,"H,3,6,H24","1,4,6","PASS:8,I,17,* BRUP:26",R. Schroeder pass incomplete to M. Riedinger (G. Lary).,"H,4,6,H24",pass,0,0,0,NA,0,NA,NA,1,H,SS,"KO,1,15:00,20","PUNT,1,13:27,24",3,4,1:33,KO,1,15:00,SS20,PUNT,1,13:27,SS24,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,4,6,SS24,"H,4,6,H24","1,5,7","PUNT:12,V36 RET:1,H00 T:13:27","L. Faschian punt 40 yards to the PW36, D. Robinson return 64 yards to the SS0, TOUCHDOWN, clock 13:27.","V,1,10,H15",punt,1,6,0,13:27,0,NA,NA,1,H,SS,"KO,1,15:00,20","PUNT,1,13:27,24",3,4,1:33,KO,1,15:00,SS20,PUNT,1,13:27,SS24,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,PW,1,10,SS15,"V,1,10,H15","2,1,8","PAT:K,58,M",K. Stepien kick attempt failed.,"V,1,0,V30",pat,0,6,0,NA,0,NA,NA,2,V,PW,"PUNT,1,13:27,100","TD,1,13:27,100",0,0,0:00,PUNT,1,13:27,SS00,TD,1,13:27,SS00,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,PW,1,0,PW30,"V,1,0,V30","2,2,9","KO:58,H00 TB:","K. Stepien kickoff 70 yards to the SS0, touchback.","H,1,10,H30",kick_off,0,6,0,NA,0,NA,NA,2,V,PW,"PUNT,1,13:27,100","TD,1,13:27,100",0,0,0:00,PUNT,1,13:27,SS00,TD,1,13:27,SS00,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,1,10,SS30,"H,1,10,H30","3,1,10",{DRIVE}:13:27,STUTTGART SURGE drive start at 13:27.,"H,1,10,H30",NA,0,6,0,13:27,0,NA,NA,3,H,SS,"KO,1,13:27,30","PUNT,1,12:27,30",3,0,1:00,KO,1,13:27,SS30,PUNT,1,12:27,SS30,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,1,10,SS30,"H,1,10,H30","3,2,11","RUSH:41,H30, TACK:52,97",B. Yankson rush for no gain to the SS30 (F. Snopek;L. Gembara).,"H,2,10,H30",rush,0,6,0,NA,0,NA,NA,3,H,SS,"KO,1,13:27,30","PUNT,1,12:27,30",3,0,1:00,KO,1,13:27,SS30,PUNT,1,12:27,SS30,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,2,10,SS30,"H,2,10,H30","3,3,12","PASS:8,I,18,* BRUP:26",R. Schroeder pass incomplete to P. Steigerwald (G. Lary).,"H,3,10,H30",pass,0,6,0,NA,0,NA,NA,3,H,SS,"KO,1,13:27,30","PUNT,1,12:27,30",3,0,1:00,KO,1,13:27,SS30,PUNT,1,12:27,SS30,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,3,10,SS30,"H,3,10,H30","3,4,13","PASS:8,I,10,*",R. Schroeder pass incomplete to J. Hackenberg.,"H,4,10,H30",pass,0,6,0,NA,0,NA,NA,3,H,SS,"KO,1,13:27,30","PUNT,1,12:27,30",3,0,1:00,KO,1,13:27,SS30,PUNT,1,12:27,SS30,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,SS,4,10,SS30,"H,4,10,H30","3,5,14","PUNT:9,V22 RET:1,V20 TACK:45","J. Loria punt 48 yards to the PW22, D. Robinson return -2 yards to the PW20 (N. Hamulic).","V,1,10,V20",punt,0,6,0,NA,0,NA,NA,3,H,SS,"KO,1,13:27,30","PUNT,1,12:27,30",3,0,1:00,KO,1,13:27,SS30,PUNT,1,12:27,SS30,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,PW,1,10,PW20,"V,1,10,V20","4,1,15",{DRIVE}:12:27,PANTHERS WROCLAW drive start at 12:27.,"V,1,10,V20",NA,0,6,0,12:27,0,NA,NA,4,V,PW,"PUNT,1,12:27,20","PUNT,1,12:00,22",3,2,0:27,PUNT,1,12:27,PW20,PUNT,1,12:00,PW22,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,PW,1,10,PW20,"V,1,10,V20","4,2,16","RUSH:7,V20, TACK:2",P. Pasqualini rush for no gain to the PW20 (M. Washington).,"V,2,10,V20",rush,0,6,0,NA,0,NA,NA,4,V,PW,"PUNT,1,12:27,20","PUNT,1,12:00,22",3,2,0:27,PUNT,1,12:27,PW20,PUNT,1,12:00,PW22,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,PW,2,10,PW20,"V,2,10,V20","4,3,17","PASS:11,C,16,V22 OB: TACK:2","J. Hansen pass complete to W. Zieba for 2 yards to the PW22, out-of-bounds (M. Washington).","V,3,8,V22",pass,0,6,0,NA,1,NA,NA,4,V,PW,"PUNT,1,12:27,20","PUNT,1,12:00,22",3,2,0:27,PUNT,1,12:27,PW20,PUNT,1,12:00,PW22,NA
2022_02_PW_SS,PW,SS,Panthers Wroclaw,Stuttgart Surge,6/12/2022,Stuttgart,GAZI-Stadion,15:00,18:10,03:10,2100,27 C,5 SW,sunny,O. Wahl,D. Clemence,A. Hildebrandt,M. Wild,A. Flaisch-J.,A. Buehler,N. Lakowitz,PW,3,8,PW22,"V,3,8,V22","4,4,18","PASS:11,I,15,*",J. Hansen pass incomplete to B. Dziedzic.,"V,4,8,V22",pass,0,6,0,NA,0,NA,NA,4,V,PW,"PUNT,1,12:27,20","PUNT,1,12:00,22",3,2,0:27,PUNT,1,12:27,PW20,PUNT,1,12:00,PW22,NA
