game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,clock,first_down_with,score,away_score_post,home_score_post,oob,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,RT,1,10,RT30,"V,1,10,V30","0,1,0","CMT:RT won toss, elect to receive, CC to defend E goal.","RT won toss, elect to receive, CC to defend E goal.","V,1,10,V30",NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,RT,1,10,RT30,"V,1,10,V30","0,2,1","SPOT:H,H30,N",CC ball on CC30.,"H,1,10,H30",NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,CC,1,10,CC30,"H,1,10,H30","0,3,2",Q:1 T:15:00,"Start of 1st quarter, clock 15:00.","H,1,10,H30",NA,15:00,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,CC,1,10,CC30,"H,1,10,H30","0,4,3","KO:15,V28 DN: PEN:H,KK,A,15,V40,N D:1,10 SPOT:V,V40,Y","J. Appelt kickoff 42 yards to the RT28, downed, PENALTY CC Illegal Kick (J. Appelt) 12 yards to the RT40, 1st and 10, RT ball on RT40.","V,1,10,V40",kick_off,NA,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,RT,1,10,RT40,"V,1,10,V40","1,1,4","PEN:V,FS,A,72,V35,N",PENALTY RT False Start (T. Koskinen) 5 yards to the RT35.,"V,1,15,V35",penalty,NA,NA,0,0,0,0,NA,1,V,RT,"KO,1,15:00,40","PUNT,1,12:42,42",3,2,2:18,KO,1,15:00,RT40,PUNT,1,12:42,RT42,NA
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,RT,1,15,RT35,"V,1,15,V35","1,2,5","RUSH:22,V42, TACK:57",L. Moragne rush for 7 yards to the RT42 (F. Simon).,"V,2,8,V42",rush,NA,NA,0,0,0,0,NA,1,V,RT,"KO,1,15:00,40","PUNT,1,12:42,42",3,2,2:18,KO,1,15:00,RT40,PUNT,1,12:42,RT42,NA
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,RT,2,8,RT42,"V,2,8,V42","1,3,6","PASS:12,C,6,V46 TACK:23",S. Shelton pass complete to A. Platzgummer for 4 yards to the RT46 (I. Eldewieh).,"V,3,4,V46",pass,NA,NA,0,0,0,0,NA,1,V,RT,"KO,1,15:00,40","PUNT,1,12:42,42",3,2,2:18,KO,1,15:00,RT40,PUNT,1,12:42,RT42,NA
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,RT,3,4,RT46,"V,3,4,V46","1,4,7","RUSH:22,V42, TACK:22",L. Moragne rush for loss of 4 yards to the RT42 (P. Steffen).,"V,4,8,V42",rush,NA,NA,0,0,0,0,NA,1,V,RT,"KO,1,15:00,40","PUNT,1,12:42,42",3,2,2:18,KO,1,15:00,RT40,PUNT,1,12:42,RT42,NA
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,RT,4,8,RT42,"V,4,8,V42","1,5,8","PUNT:1,H24 RET:1,H22 TACK:31","R. Seeber punt 34 yards to the CC24, Q. Pounds return -2 yards to the CC22 (T. Anderson).","H,1,10,H22",punt,NA,NA,0,0,0,0,NA,1,V,RT,"KO,1,15:00,40","PUNT,1,12:42,42",3,2,2:18,KO,1,15:00,RT40,PUNT,1,12:42,RT42,NA
2022_02_RT_CC,RT,CC,Raiders Tirol,Cologne Centurions,6/11/2022,Cologne,Suedstadion,15:00,18:21,3:21,1537,25C,14kmh W,sunny,J. Haentjens,A. Buijs,R. Lewis,B. Milosevic,C. Ehmer,C. Beckmann,A. Mazrekaj,CC,1,10,CC22,"H,1,10,H22","2,1,9",{DRIVE}:12:42,COLOGNE CENTURIONS drive start at 12:42.,"H,1,10,H22",NA,12:42,NA,0,0,0,0,NA,2,H,CC,"PUNT,1,12:42,22","TD,1,08:48,100",9,78,3:54,PUNT,1,12:42,CC22,TD,1,08:48,RT00,NA
