game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,clock,first_down_with,score,away_score_post,home_score_post,turnover,oob,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,10,BT30,"V,1,10,V30","0,1,0","CMT:RT wins toss, elects to recive, bt to defend w goal","RT wins toss, elects to recive, bt to defend w goal","V,1,10,V30",NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,10,BT30,"V,1,10,V30","0,2,1",T:15:00,Clock 15:00.,"V,1,10,V30",NA,15:00,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,BT,1,10,BT30,"V,1,10,V30","0,3,2","KO:26,H10 RET:23,V39 TACK:20","J. Schenderlein kickoff 60 yards to the RT10, V. Mueller return 51 yards to the BT39 (R. Kendall).","H,1,10,V39",kick_off,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,RT,1,10,BT39,"H,1,10,V39","1,1,3","PASS:12,C,22,V32 TACK:8",S. Shelton pass complete to L. Moragne for 7 yards to the BT32 (P. Seifert).,"H,2,3,V32",pass,NA,NA,0,0,0,NA,0,1,H,RT,"KO,1,15:00,61","TD,1,12:39,100",4,39,2:21,KO,1,15:00,BT39,TD,1,12:39,BT00,NA
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,RT,2,3,BT32,"H,2,3,V32","1,2,4","RUSH:22,V30, TACK:20",L. Moragne rush for 2 yards to the BT30 (R. Kendall).,"H,3,1,V30",rush,NA,NA,0,0,0,NA,0,1,H,RT,"KO,1,15:00,61","TD,1,12:39,100",4,39,2:21,KO,1,15:00,BT39,TD,1,12:39,BT00,NA
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,RT,3,1,BT30,"H,3,1,V30","1,3,5","PEN:H,ILF,A,TM,V35,N",PENALTY RT ILF 5 yards to the BT35.,"H,3,6,V35",penalty,NA,NA,0,0,0,NA,0,1,H,RT,"KO,1,15:00,61","TD,1,12:39,100",4,39,2:21,KO,1,15:00,BT39,TD,1,12:39,BT00,NA
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,RT,3,6,BT35,"H,3,6,V35","1,4,6","PEN:V,DOF,A,TM,V30,N",PENALTY BT DOF 5 yards to the BT30.,"H,3,1,V30",penalty,NA,NA,0,0,0,NA,0,1,H,RT,"KO,1,15:00,61","TD,1,12:39,100",4,39,2:21,KO,1,15:00,BT39,TD,1,12:39,BT00,NA
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,RT,3,1,BT30,"H,3,1,V30","1,5,7","RUSH:25,V29, TACK:2","T. Bonatti rush for 1 yard to the BT29, 1ST DOWN RT (S. Zeregbe).","H,1,10,V29",rush,NA,rush,0,0,0,NA,0,1,H,RT,"KO,1,15:00,61","TD,1,12:39,100",4,39,2:21,KO,1,15:00,BT39,TD,1,12:39,BT00,NA
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,RT,1,10,BT29,"H,1,10,V29","1,6,8","PASS:12,C,85,V00 TACK:2 T:12:39","S. Shelton pass complete to M. Schaberl for 29 yards to the BT0, 1ST DOWN RT, TOUCHDOWN (S. Zeregbe), clock 12:39.","H,1,10,V15",pass,12:39,pass,1,0,6,NA,0,1,H,RT,"KO,1,15:00,61","TD,1,12:39,100",4,39,2:21,KO,1,15:00,BT39,TD,1,12:39,BT00,NA
2022_03_BT_RT,BT,RT,Berlin Thunder,Raiders Tirol,6/19/2022,Innsbruck,Tivoli stadion,15:00,17:50,2:50,3032,32,no,sunny,J. Wild,H. Horak,R. Hoelbling,M. Wild,J. Scott,N. Lakowitz,A. Flaisch-J.,RT,1,10,BT15,"H,1,10,V15","1,7,9","PAT:K,33,G",T. Unger kick attempt good.,"H,1,0,H30",pat,NA,NA,1,0,7,NA,0,1,H,RT,"KO,1,15:00,61","TD,1,12:39,100",4,39,2:21,KO,1,15:00,BT39,TD,1,12:39,BT00,NA
