game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,tokens,desc,newcontext,play_type,clock,first_down_with,turnover,oob,score,away_score_post,home_score_post,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,1,10,IR35,"V,1,10,V35","0,1,0","CMT:RF wins  toss, defers, IR elects to receive, RF to defend N Goal","RF wins  toss, defers, IR elects to receive, RF to defend N Goal","V,1,10,V35",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,1,10,IR35,"V,1,10,V35","0,2,1","SPOT:H,H30,N KO:2,V10 RET:28,V26","RF ball on RF30, D. Schuhmacher kickoff 60 yards to the IR10, D. Lewis return 16 yards to the IR26.","V,1,10,V26",kick_off,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,1,10,IR26,"V,1,10,V26","1,1,2","PASS:10,I,16,*",J. Stegman pass incomplete to D. Heckstall.,"V,2,10,V26",pass,NA,NA,NA,0,0,0,0,1,V,IR,"KO,1,15:00,26","PUNT,1,12:50,22",3,-4,2:10,KO,1,15:00,IR26,PUNT,1,12:50,IR22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,2,10,IR26,"V,2,10,V26","1,2,3","PASS:10,C,9,V27 TACK:3",J. Stegman pass complete to T. Johnson-Fish for 1 yard to the IR27 (L. Ruoss).,"V,3,9,V27",pass,NA,NA,NA,0,0,0,0,1,V,IR,"KO,1,15:00,26","PUNT,1,12:50,22",3,-4,2:10,KO,1,15:00,IR26,PUNT,1,12:50,IR22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,3,9,IR27,"V,3,9,V27","1,3,4","PEN:V,FS,A,TM,V22,N",PENALTY IR False Start 5 yards to the IR22.,"V,3,14,V22",penalty,NA,NA,NA,0,0,0,0,1,V,IR,"KO,1,15:00,26","PUNT,1,12:50,22",3,-4,2:10,KO,1,15:00,IR26,PUNT,1,12:50,IR22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,3,14,IR22,"V,3,14,V22","1,4,5","PASS:10,I,16,*",J. Stegman pass incomplete to D. Heckstall.,"V,4,14,V22",pass,NA,NA,NA,0,0,0,0,1,V,IR,"KO,1,15:00,26","PUNT,1,12:50,22",3,-4,2:10,KO,1,15:00,IR26,PUNT,1,12:50,IR22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,4,14,IR22,"V,4,14,V22","1,5,6","PUNT:19,H33 DN:","Y. Gueven punt 45 yards to the RF33, downed.","H,1,10,H33",punt,NA,NA,NA,0,0,0,0,1,V,IR,"KO,1,15:00,26","PUNT,1,12:50,22",3,-4,2:10,KO,1,15:00,IR26,PUNT,1,12:50,IR22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,RF,1,10,RF33,"H,1,10,H33","2,1,7",{DRIVE}:12:50,RHEIN FIRE drive start at 12:50.,"H,1,10,H33",NA,12:50,NA,NA,0,0,0,0,2,H,RF,"PUNT,1,12:50,33","PUNT,1,10:17,22",3,-11,2:33,PUNT,1,12:50,RF33,PUNT,1,10:17,RF22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,RF,1,10,RF33,"H,1,10,H33","2,2,8","RUSH:21,H29, TACK:42",J. Aguemon rush for loss of 4 yards to the RF29 (Z. Blair).,"H,2,14,H29",rush,NA,NA,NA,0,0,0,0,2,H,RF,"PUNT,1,12:50,33","PUNT,1,10:17,22",3,-11,2:33,PUNT,1,12:50,RF33,PUNT,1,10:17,RF22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,RF,2,14,RF29,"H,2,14,H29","2,3,9","PASS:11,I,TM,*",M. Adam pass incomplete.,"H,3,14,H29",pass,NA,NA,NA,0,0,0,0,2,H,RF,"PUNT,1,12:50,33","PUNT,1,10:17,22",3,-11,2:33,PUNT,1,12:50,RF33,PUNT,1,10:17,RF22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,RF,3,14,RF29,"H,3,14,H29","2,4,10","PEN:H,FS,A,TM,H24,N",PENALTY RF False Start 5 yards to the RF24.,"H,3,19,H24",penalty,NA,NA,NA,0,0,0,0,2,H,RF,"PUNT,1,12:50,33","PUNT,1,10:17,22",3,-11,2:33,PUNT,1,12:50,RF33,PUNT,1,10:17,RF22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,RF,3,19,RF24,"H,3,19,H24","2,5,11","PASS:11,C,21,H22 TACK:42",M. Adam pass complete to J. Aguemon for loss of 2 yards to the RF22 (Z. Blair).,"H,4,21,H22",pass,NA,NA,NA,0,0,0,0,2,H,RF,"PUNT,1,12:50,33","PUNT,1,10:17,22",3,-11,2:33,PUNT,1,12:50,RF33,PUNT,1,10:17,RF22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,RF,4,21,RF22,"H,4,21,H22","2,6,12","PUNT:14,V40 FC:28","M. Eisenhut punt 38 yards to the IR40, fair catch by D. Lewis.","V,1,10,V40",punt,NA,NA,NA,0,0,0,0,2,H,RF,"PUNT,1,12:50,33","PUNT,1,10:17,22",3,-11,2:33,PUNT,1,12:50,RF33,PUNT,1,10:17,RF22,NA
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,1,10,IR40,"V,1,10,V40","3,1,13",{DRIVE}:10:17,ISTANBUL RAMS drive start at 10:17.,"V,1,10,V40",NA,10:17,NA,NA,0,0,0,0,3,V,IR,"PUNT,1,10:17,40","FUMB,1,08:48,76",6,36,1:29,PUNT,1,10:17,IR40,FUMB,1,08:48,RF24,1
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,1,10,IR40,"V,1,10,V40","3,2,14",TOUT:V T:10:17,"Timeout Istanbul Rams, clock 10:17.","V,1,10,V40",NA,10:17,NA,NA,0,0,0,0,3,V,IR,"PUNT,1,10:17,40","FUMB,1,08:48,76",6,36,1:29,PUNT,1,10:17,IR40,FUMB,1,08:48,RF24,1
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,1,10,IR40,"V,1,10,V40","3,3,15","RUSH:9,H49, TACK:22","T. Johnson-Fish rush for 11 yards to the RF49, 1ST DOWN IR (O. Williams).","V,1,10,H49",rush,NA,rush,NA,0,0,0,0,3,V,IR,"PUNT,1,10:17,40","FUMB,1,08:48,76",6,36,1:29,PUNT,1,10:17,IR40,FUMB,1,08:48,RF24,1
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,1,10,RF49,"V,1,10,H49","3,4,16","RUSH:9,H44,",T. Johnson-Fish rush for 5 yards to the RF44.,"V,2,5,H44",rush,NA,NA,NA,0,0,0,0,3,V,IR,"PUNT,1,10:17,40","FUMB,1,08:48,76",6,36,1:29,PUNT,1,10:17,IR40,FUMB,1,08:48,RF24,1
2022_03_IR_RF,IR,RF,Istanbul Rams,Rhein Fire,6/19/2022,Duisburg,Schauinsl.-R.-Arena,15:00,18:03,Y,03:03,7895,21C,13NW,party cloudy,J. Haentjens,A. Buijs,R. Lewis,M. Burzec,C. Ehmer,G. Tesli,R. Krahl,IR,2,5,RF44,"V,2,5,H44","3,5,17","SPOT:V,H31,N",IR ball on RF31.,"V,2,5,H31",NA,NA,NA,NA,0,0,0,0,3,V,IR,"PUNT,1,10:17,40","FUMB,1,08:48,76",6,36,1:29,PUNT,1,10:17,IR40,FUMB,1,08:48,RF24,1
